slug,sku,name,price,compare_at_price,currency,status,description,meta_title,meta_description,meta_keywords,tags,tax_category,shipping_category,category1,option1_name,option1_value,option2_name,option2_value,image1_src,width,height,depth,dimensions_unit,weight,weight_unit,available_on,discontinue_on,inventory_count,inventory_backorderable,track_inventory,metafield.custom.wattage,metafield.custom.voltage,metafield.custom.warranty,metafield.custom.capacity,metafield.custom.runtime,metafield.custom.room_coverage,metafield.custom.noise_level,metafield.custom.connectivity
personal-blender,PERSONAL-BLENDER-GREY,,49.99,0,USD,,,,,,,,,,Color,Grey,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/personal-blender-grey.webp,5.1,15,5.1,in,2,lb,,,5000,TRUE,TRUE,,,,,,,,
electric-kettle-1-7l,ELECTRIC-KETTLE-1-7L,Electric Kettle 1.7L,0,0,USD,active,"Rapid-boil electric kettle with concealed element, 360-degree swivel base, water level indicator, and auto shut-off. Boils a full kettle in under 3 minutes.",Electric Kettle 1.7L | Spree Commerce Demo,"Browse the Electric Kettle 1.7L on the Spree Commerce demo store. Rapid-boil, concealed element & 360° swivel base. Auto shut-off. Boils full in under 3 minutes.","electric kettle, 1.7L kettle, rapid boil kettle, spree commerce, spree demo store, ecommerce demo","kettle, kitchen, electric kettle, rapid boil",Default,Default,Kitchen -> Kettles,,,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/electric-kettle-1-7l.webp,,,,in,,lb,,,,,,2200W,220-240V,2 Years,1.7L,,,,
electric-kettle-1-7l,ELECTRIC-KETTLE-1-7L-WHITE,,44.99,0,USD,,,,,,,,,,Color,White,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/electric-kettle-1-7l-white.webp,7.9,9.8,5.5,in,2.4,lb,,,5000,TRUE,TRUE,,,,,,,,
electric-kettle-1-7l,ELECTRIC-KETTLE-1-7L-BLACK,,44.99,0,USD,,,,,,,,,,Color,Black,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/electric-kettle-1-7l-black.webp,7.9,9.8,5.5,in,2.4,lb,,,5000,TRUE,TRUE,,,,,,,,
electric-kettle-1-7l,ELECTRIC-KETTLE-1-7L-STAINLESS-STEEL,,44.99,0,USD,,,,,,,,,,Color,Stainless Steel,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/electric-kettle-1-7l-stainless-steel.webp,7.9,9.8,5.5,in,2.4,lb,,,5000,TRUE,TRUE,,,,,,,,
temperature-control-kettle,TEMPERATURE-CONTROL-KETTLE,Temperature Control Kettle 1.7L,0,0,USD,active,"Variable temperature kettle with 5 heat settings (40-100C), keep-warm function, and LED temperature display. Ideal for specialty tea and pour-over coffee.",Temperature Control Kettle 1.7L | Spree Commerce Demo,"Explore the Temperature Control Kettle 1.7L on the Spree Commerce demo store. 5 heat settings, keep-warm & LED display. Ideal for specialty tea & pour-over.","temperature control kettle, variable temperature kettle, tea kettle, pour-over kettle, spree commerce demo, open source ecommerce","kettle, kitchen, temperature control, specialty tea, pour-over coffee",Default,Default,Kitchen -> Kettles,,,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/temperature-control-kettle.webp,,,,in,,lb,,,,,,2200W,220-240V,2 Years,1.7L,,,,
temperature-control-kettle,TEMPERATURE-CONTROL-KETTLE-STAINLESS-STEEL,,79.99,0,USD,,,,,,,,,,Color,Stainless Steel,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/temperature-control-kettle-stainless-steel.webp,8.3,10.2,5.5,in,2.9,lb,,,5000,TRUE,TRUE,,,,,,,,
temperature-control-kettle,TEMPERATURE-CONTROL-KETTLE-MATTE-BLACK,,79.99,0,USD,,,,,,,,,,Color,Matte Black,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/temperature-control-kettle-matte-black.webp,8.3,10.2,5.5,in,2.9,lb,,,5000,TRUE,TRUE,,,,,,,,
2-slice-toaster,2-SLICE-TOASTER,2-Slice Toaster,0,0,USD,active,"Compact 2-slice toaster with 7 browning levels, defrost and reheat functions, extra-wide slots, and removable crumb tray.",2-Slice Toaster | Spree Commerce Demo,"Shop the 2-Slice Toaster on the Spree Commerce demo store. 7 browning levels, defrost & reheat, extra-wide slots & crumb tray. Compact kitchen essential.","2-slice toaster, toaster, kitchen toaster, spree commerce, spree demo store, ecommerce platform example","toaster, kitchen, 2-slice, compact",Default,Default,Kitchen -> Toasters,,,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/2-slice-toaster.webp,,,,in,,lb,,,,,,850W,220-240V,2 Years,,,,,
2-slice-toaster,2-SLICE-TOASTER-WHITE,,39.99,0,USD,,,,,,,,,,Color,White,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/2-slice-toaster-white.webp,11.4,7.1,5.9,in,2.6,lb,,,5000,TRUE,TRUE,,,,,,,,
2-slice-toaster,2-SLICE-TOASTER-BLACK,,39.99,0,USD,,,,,,,,,,Color,Black,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/2-slice-toaster-black.webp,11.4,7.1,5.9,in,2.6,lb,,,5000,TRUE,TRUE,,,,,,,,
2-slice-toaster,2-SLICE-TOASTER-STAINLESS-STEEL,,39.99,0,USD,,,,,,,,,,Color,Stainless Steel,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/2-slice-toaster-stainless-steel.webp,11.4,7.1,5.9,in,2.6,lb,,,5000,TRUE,TRUE,,,,,,,,
4-slice-toaster,4-SLICE-TOASTER,4-Slice Toaster,0,0,USD,active,"Wide 4-slice toaster with independent dual controls, 7 browning levels, bagel mode, and high-lift lever for smaller items.",4-Slice Toaster | Spree Commerce Demo,"Browse the 4-Slice Toaster on the Spree Commerce demo store. Independent dual controls, 7 browning levels, bagel mode & high-lift lever for smaller items.","4-slice toaster, family toaster, wide slot toaster, spree commerce, spree demo store, open source ecommerce","toaster, kitchen, 4-slice, family, bagel mode",Default,Default,Kitchen -> Toasters,,,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/4-slice-toaster.webp,,,,in,,lb,,,,,,1600W,220-240V,2 Years,,,,,
4-slice-toaster,4-SLICE-TOASTER-WHITE,,64.99,0,USD,,,,,,,,,,Color,White,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/4-slice-toaster-white.webp,16.5,7.1,5.9,in,4,lb,,,5000,TRUE,TRUE,,,,,,,,
4-slice-toaster,4-SLICE-TOASTER-BLACK,,64.99,0,USD,,,,,,,,,,Color,Black,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/4-slice-toaster-black.webp,16.5,7.1,5.9,in,4,lb,,,5000,TRUE,TRUE,,,,,,,,
4-slice-toaster,4-SLICE-TOASTER-STAINLESS-STEEL,,64.99,0,USD,,,,,,,,,,Color,Stainless Steel,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/4-slice-toaster-stainless-steel.webp,16.5,7.1,5.9,in,4,lb,,,5000,TRUE,TRUE,,,,,,,,
food-processor-3l,FOOD-PROCESSOR-3L,Food Processor 3.0L,0,0,USD,active,"Versatile food processor with 1000W motor, stainless steel S-blade, slicing and shredding discs, dough hook, and citrus press attachment.",Food Processor 3.0L | Spree Commerce Demo,"Discover the Food Processor 3.0L on the Spree Commerce demo store. 1000W motor with S-blade, slicing, shredding, dough hook & citrus press attachment.","food processor, 3L food processor, kitchen food processor, spree commerce, spree demo store, ecommerce example","food processor, kitchen, 3L, versatile, cooking prep",Default,Default,Kitchen -> Food Processors,,,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/food-processor-3l.webp,,,,in,,lb,,,,,,1000W,220-240V,3 Years,3.0L,,,,
food-processor-3l,FOOD-PROCESSOR-3L-STAINLESS-STEEL,,149.99,0,USD,,,,,,,,,,Color,Stainless Steel,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/food-processor-3l-stainless-steel.webp,10.2,16.5,9.4,in,8.8,lb,,,5000,TRUE,TRUE,,,,,,,,
food-processor-3l,FOOD-PROCESSOR-3L-WHITE,,149.99,0,USD,,,,,,,,,,Color,White,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/food-processor-3l-white.webp,10.2,16.5,9.4,in,8.8,lb,,,5000,TRUE,TRUE,,,,,,,,
air-purifier-compact,AIR-PURIFIER-COMPACT,Air Purifier Compact,0,0,USD,active,Compact HEPA air purifier for rooms up to 25m2. Three-layer filtration captures 99.97% of particles as small as 0.3 microns. Ultra-quiet night mode at 30dB.,Air Purifier Compact | Spree Commerce Demo,Shop the Compact Air Purifier on the Spree Commerce demo store. 3-layer HEPA captures 99.97% of particles. Ultra-quiet 30dB night mode for rooms up to 25m².,"compact air purifier, HEPA air purifier, small air purifier, spree commerce, spree demo store, ecommerce platform","air purifier, air quality, HEPA, compact, air & climate",Default,Default,Air & Climate -> Air Purifiers,,,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/air-purifier-compact.webp,,,,in,,lb,,,,,,40W,220-240V,2 Years,,,Up to 25m²,30dB,
air-purifier-compact,AIR-PURIFIER-COMPACT-WHITE,,149.99,0,USD,,,,,,,,,,Color,White,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/air-purifier-compact-white.webp,7.9,14.2,7.9,in,5.5,lb,,,5000,TRUE,TRUE,,,,,,,,
air-purifier-compact,AIR-PURIFIER-COMPACT-BLACK,,149.99,0,USD,,,,,,,,,,Color,Black,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/air-purifier-compact-black.webp,7.9,14.2,7.9,in,5.5,lb,,,5000,TRUE,TRUE,,,,,,,,
air-purifier-tower,AIR-PURIFIER-TOWER,Air Purifier Tower,0,0,USD,active,"High-performance tower air purifier for rooms up to 80m2. True HEPA H13 filter, real-time air quality LED ring, auto mode, and app connectivity.",Air Purifier Tower | Spree Commerce Demo,"Browse the Air Purifier Tower on the Spree Commerce demo store. True HEPA H13, real-time air quality LED ring & app for rooms up to 80m². Powered by Spree.","tower air purifier, HEPA H13 air purifier, smart air purifier, spree commerce, spree demo store, open source ecommerce","air purifier, tower, HEPA H13, smart home, air & climate",Default,Default,Air & Climate -> Air Purifiers,,,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/air-purifier-tower.webp,,,,in,,lb,,,,,,65W,220-240V,2 Years,,,Up to 80m²,,WiFi + App
air-purifier-tower,AIR-PURIFIER-TOWER-WHITE,,349.99,0,USD,,,,,,,,,,Color,White,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/air-purifier-tower-white.webp,10.2,39.4,10.2,in,11,lb,,,5000,TRUE,TRUE,,,,,,,,
air-purifier-tower,AIR-PURIFIER-TOWER-BLACK,,349.99,0,USD,,,,,,,,,,Color,Black,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/air-purifier-tower-black.webp,10.2,39.4,10.2,in,11,lb,,,5000,TRUE,TRUE,,,,,,,,
air-purifier-tower,AIR-PURIFIER-TOWER-GREY,,349.99,0,USD,,,,,,,,,,Color,Grey,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/air-purifier-tower-grey.webp,10.2,39.4,10.2,in,11,lb,,,5000,TRUE,TRUE,,,,,,,,
air-purifier-pro,AIR-PURIFIER-PRO,Air Purifier Pro,0,0,USD,active,"Premium air purifier for rooms up to 120m2. HEPA H13 + activated carbon filter, VOC sensor, auto mode, and whisper-quiet operation. Removes allergens, smoke, and odors.",Air Purifier Pro | Spree Commerce Demo,"Explore the Air Purifier Pro on the Spree Commerce demo store. HEPA H13 + carbon filter, VOC sensor & auto mode. Covers rooms up to 120m². Removes allergens.","pro air purifier, large room air purifier, HEPA carbon filter, VOC air purifier, spree commerce demo, ecommerce example","air purifier, premium, HEPA H13, large room, VOC, air & climate",Default,Default,Air & Climate -> Air Purifiers,,,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/air-purifier-pro.webp,,,,in,,lb,,,,,,80W,220-240V,3 Years,,,Up to 120m²,,
air-purifier-pro,AIR-PURIFIER-PRO-WHITE,,549.99,0,USD,,,,,,,,,,Color,White,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/air-purifier-pro-white.webp,12.6,22.8,12.6,in,15.4,lb,,,5000,TRUE,TRUE,,,,,,,,
air-purifier-pro,AIR-PURIFIER-PRO-MATTE-BLACK,,549.99,0,USD,,,,,,,,,,Color,Matte Black,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/air-purifier-pro-matte-black.webp,12.6,22.8,12.6,in,15.4,lb,,,5000,TRUE,TRUE,,,,,,,,
ultrasonic-humidifier-2l,ULTRASONIC-HUMIDIFIER-2L,Ultrasonic Humidifier 2.0L,0,0,USD,active,"Quiet ultrasonic humidifier for rooms up to 30m2. Adjustable mist output, 20-hour runtime, auto shut-off when empty, and optional essential oil tray.",Ultrasonic Humidifier 2.0L | Spree Commerce Demo,"Shop the Ultrasonic Humidifier 2.0L on the Spree Commerce demo store. Quiet 20-hour runtime, adjustable mist & auto shut-off. Covers rooms up to 30m².","ultrasonic humidifier, 2L humidifier, quiet humidifier, cool mist humidifier, spree commerce demo, ecommerce platform","humidifier, ultrasonic, air & climate, bedroom, cool mist",Default,Default,Air & Climate -> Humidifiers,,,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/ultrasonic-humidifier-2l.webp,,,,in,,lb,,,,,,25W,220-240V,2 Years,2.0L,,Up to 30m²,,
ultrasonic-humidifier-2l,ULTRASONIC-HUMIDIFIER-2L-WHITE,,69.99,0,USD,,,,,,,,,,Color,White,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/ultrasonic-humidifier-2l-white.webp,7.1,11,7.1,in,2.4,lb,,,5000,TRUE,TRUE,,,,,,,,
ultrasonic-humidifier-2l,ULTRASONIC-HUMIDIFIER-2L-BLACK,,69.99,0,USD,,,,,,,,,,Color,Black,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/ultrasonic-humidifier-2l-black.webp,7.1,11,7.1,in,2.4,lb,,,5000,TRUE,TRUE,,,,,,,,
smart-humidifier-4l,SMART-HUMIDIFIER-4L,Smart Humidifier 4.0L,0,0,USD,active,"Large-capacity smart humidifier with humidity sensor, auto mode, app control, and 40-hour runtime. Covers rooms up to 50m2.",Smart Humidifier 4.0L | Spree Commerce Demo,"Browse the Smart Humidifier 4.0L on the Spree Commerce demo store. Humidity sensor, auto mode & app control. 40-hour runtime for rooms up to 50m².","smart humidifier, 4L humidifier, app controlled humidifier, wifi humidifier, spree commerce demo, ecommerce example","humidifier, smart, air & climate, app control, large room",Default,Default,Air & Climate -> Humidifiers,,,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/smart-humidifier-4l.webp,,,,in,,lb,,,,,,30W,220-240V,2 Years,4.0L,,Up to 50m²,,WiFi + App
